Program	ref	query	algorithm	flags	elapsedTime	userTime	systemTime	maxResidentMemory	CPU
alnSeq	small	mid	needle	two-bit	0.17	0.17	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.16	0.16	0.00	5504	100%
alnSeq	small	mid	scan	two-bit	0.31	0.31	0.00	6016	100%
alnSeq	small	mid	hirschberg	byte	0.17	0.17	0.00	772	100%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	768	100%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	784	100%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	768	100%
bio-align	small	mid	hirschberg	NA	0.09	0.09	0.00	4480	100%
ssw_test	small	mid	water	NA	0.02	0.01	0.00	9392	95%
alnSeq	small	mid	needle	byte	0.09	0.09	0.00	20048	100%
alnSeq	small	mid	water	byte	0.09	0.09	0.00	20000	97%
alnSeq	small	mid	scan	byte	0.21	0.21	0.00	20548	99%
alnSeq	small	mid	needle	mid	0.07	0.07	0.00	20048	100%
alnSeq	small	mid	water	mid	0.09	0.08	0.00	20008	98%
alnSeq	small	mid	scan	mid	0.24	0.23	0.00	20580	100%
alnSeq	small	mid	needle	fast	0.05	0.04	0.00	20048	100%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	19996	100%
alnSeq	small	mid	scan	fast	0.19	0.19	0.00	20620	98%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157900	100%
emboss	small	mid	needle	NA	0.25	0.21	0.04	326728	99%
emboss	small	mid	water	NA	0.32	0.29	0.02	172628	99%
alnSeq	small	large	needle	two-bit	0.45	0.44	0.00	12800	99%
alnSeq	small	large	water	two-bit	0.41	0.40	0.00	12800	100%
alnSeq	small	large	scan	two-bit	0.78	0.75	0.02	13952	99%
alnSeq	small	large	hirschberg	byte	0.44	0.44	0.00	896	99%
alnSeq	small	large	hirschberg	two-bit	0.74	0.74	0.00	784	100%
alnSeq	small	large	hirschberg	mid	0.42	0.42	0.00	896	100%
alnSeq	small	large	hirschberg	fast	0.13	0.13	0.00	896	100%
bio-align	small	large	hirschberg	NA	0.22	0.22	0.00	4608	100%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9540	100%
alnSeq	small	large	needle	byte	0.20	0.19	0.00	49204	99%
alnSeq	small	large	water	byte	0.23	0.23	0.00	49236	100%
alnSeq	small	large	scan	byte	0.53	0.53	0.00	50408	100%
alnSeq	small	large	needle	mid	0.19	0.19	0.00	49232	100%
alnSeq	small	large	water	mid	0.22	0.21	0.00	49256	99%
alnSeq	small	large	scan	mid	0.60	0.60	0.00	50452	99%
alnSeq	small	large	needle	fast	0.13	0.12	0.00	49240	100%
alnSeq	small	large	water	fast	0.13	0.12	0.00	49284	100%
alnSeq	small	large	scan	fast	0.49	0.48	0.00	50448	100%
bio-align	small	large	needle	NA	0.21	0.18	0.03	391232	99%
emboss	small	large	needle	NA	0.53	0.45	0.08	793128	100%
emboss	small	large	water	NA	0.72	0.68	0.04	405776	100%
alnSeq	small	large	needle	two-bit	0.44	0.43	0.00	12800	99%
alnSeq	small	large	water	two-bit	0.41	0.40	0.00	12800	100%
alnSeq	small	large	scan	two-bit	0.78	0.77	0.00	13952	100%
alnSeq	small	large	hirschberg	byte	0.44	0.44	0.00	896	100%
alnSeq	small	large	hirschberg	two-bit	0.74	0.73	0.00	784	99%
alnSeq	small	large	hirschberg	mid	0.43	0.43	0.00	896	99%
alnSeq	small	large	hirschberg	fast	0.13	0.13	0.00	896	99%
bio-align	small	large	hirschberg	NA	0.22	0.22	0.00	4608	100%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9536	100%
alnSeq	small	large	needle	byte	0.20	0.20	0.00	49244	100%
alnSeq	small	large	water	byte	0.23	0.22	0.01	49272	99%
alnSeq	small	large	scan	byte	0.55	0.54	0.00	50452	99%
alnSeq	small	large	needle	mid	0.19	0.18	0.00	49288	98%
alnSeq	small	large	water	mid	0.22	0.21	0.00	49164	99%
alnSeq	small	large	scan	mid	0.60	0.60	0.00	50444	100%
alnSeq	small	large	needle	fast	0.13	0.13	0.00	49228	100%
alnSeq	small	large	water	fast	0.13	0.12	0.00	49212	99%
alnSeq	small	large	scan	fast	0.49	0.48	0.00	50352	99%
bio-align	small	large	needle	NA	0.21	0.18	0.03	391232	100%
emboss	small	large	needle	NA	0.53	0.46	0.07	793112	99%
emboss	small	large	water	NA	0.76	0.70	0.05	405876	99%
alnSeq	small	large	needle	two-bit	0.44	0.43	0.00	12800	100%
alnSeq	small	large	water	two-bit	0.41	0.40	0.00	12800	100%
alnSeq	small	large	scan	two-bit	0.78	0.77	0.00	13952	100%
alnSeq	small	large	hirschberg	byte	0.44	0.44	0.00	896	100%
alnSeq	small	large	hirschberg	two-bit	0.74	0.74	0.00	784	100%
alnSeq	small	large	hirschberg	mid	0.42	0.41	0.00	896	99%
alnSeq	small	large	hirschberg	fast	0.13	0.13	0.00	896	99%
bio-align	small	large	hirschberg	NA	0.22	0.22	0.00	4608	99%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9536	100%
alnSeq	small	large	needle	byte	0.20	0.20	0.00	49276	100%
alnSeq	small	large	water	byte	0.23	0.22	0.00	49280	100%
alnSeq	small	large	scan	byte	0.53	0.53	0.00	50440	100%
alnSeq	small	large	needle	mid	0.19	0.18	0.00	49228	99%
alnSeq	small	large	water	mid	0.22	0.22	0.00	49288	100%
alnSeq	small	large	scan	mid	0.60	0.59	0.01	50440	99%
alnSeq	small	large	needle	fast	0.13	0.12	0.00	49264	100%
alnSeq	small	large	water	fast	0.13	0.12	0.00	49288	100%
alnSeq	small	large	scan	fast	0.49	0.49	0.00	50396	100%
bio-align	small	large	needle	NA	0.21	0.18	0.02	391232	99%
emboss	small	large	needle	NA	0.53	0.45	0.07	793104	99%
emboss	small	large	water	NA	0.74	0.71	0.03	405888	100%
alnSeq	small	large	needle	two-bit	0.44	0.43	0.00	12800	99%
alnSeq	small	large	water	two-bit	0.41	0.41	0.00	12800	100%
alnSeq	small	large	scan	two-bit	0.78	0.76	0.01	13952	99%
alnSeq	small	large	hirschberg	byte	0.44	0.44	0.00	896	99%
alnSeq	small	large	hirschberg	two-bit	0.74	0.74	0.00	784	100%
alnSeq	small	large	hirschberg	mid	0.42	0.42	0.00	896	100%
alnSeq	small	large	hirschberg	fast	0.13	0.13	0.00	896	98%
bio-align	small	large	hirschberg	NA	0.22	0.21	0.00	4608	99%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9540	100%
alnSeq	small	large	needle	byte	0.20	0.20	0.00	49280	100%
alnSeq	small	large	water	byte	0.23	0.22	0.00	49212	99%
alnSeq	small	large	scan	byte	0.54	0.54	0.00	50420	100%
alnSeq	small	large	needle	mid	0.18	0.18	0.00	49288	100%
alnSeq	small	large	water	mid	0.22	0.22	0.00	49220	100%
alnSeq	small	large	scan	mid	0.60	0.60	0.00	50376	100%
alnSeq	small	large	needle	fast	0.13	0.13	0.00	49228	100%
alnSeq	small	large	water	fast	0.13	0.12	0.00	49192	99%
alnSeq	small	large	scan	fast	0.49	0.48	0.01	50336	100%
bio-align	small	large	needle	NA	0.21	0.18	0.02	391104	100%
emboss	small	large	needle	NA	0.56	0.48	0.07	792964	99%
emboss	small	large	water	NA	0.77	0.73	0.04	405792	99%
alnSeq	small	large	needle	two-bit	0.44	0.43	0.01	12800	99%
alnSeq	small	large	water	two-bit	0.41	0.41	0.00	12800	100%
alnSeq	small	large	scan	two-bit	0.78	0.76	0.01	13952	99%
alnSeq	small	large	hirschberg	byte	0.44	0.44	0.00	896	99%
alnSeq	small	large	hirschberg	two-bit	0.74	0.74	0.00	768	100%
alnSeq	small	large	hirschberg	mid	0.42	0.42	0.00	896	100%
alnSeq	small	large	hirschberg	fast	0.15	0.15	0.00	896	100%
bio-align	small	large	hirschberg	NA	0.22	0.21	0.00	4608	99%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9540	100%
alnSeq	small	large	needle	byte	0.20	0.19	0.00	49252	99%
alnSeq	small	large	water	byte	0.23	0.22	0.00	49200	99%
alnSeq	small	large	scan	byte	0.53	0.52	0.00	50352	100%
alnSeq	small	large	needle	mid	0.19	0.18	0.00	49172	99%
alnSeq	small	large	water	mid	0.22	0.22	0.00	49168	100%
alnSeq	small	large	scan	mid	0.61	0.60	0.00	50352	99%
alnSeq	small	large	needle	fast	0.13	0.12	0.00	49216	100%
alnSeq	small	large	water	fast	0.13	0.12	0.00	49164	99%
alnSeq	small	large	scan	fast	0.49	0.49	0.00	50392	100%
bio-align	small	large	needle	NA	0.21	0.18	0.02	391232	99%
emboss	small	large	needle	NA	0.54	0.47	0.06	793092	99%
emboss	small	large	water	NA	0.76	0.72	0.03	405756	99%
alnSeq	small	large	needle	two-bit	0.44	0.44	0.00	12800	100%
alnSeq	small	large	water	two-bit	0.41	0.41	0.00	12672	99%
alnSeq	small	large	scan	two-bit	0.78	0.77	0.00	13952	99%
alnSeq	small	large	hirschberg	byte	0.44	0.44	0.00	896	100%
alnSeq	small	large	hirschberg	two-bit	0.74	0.73	0.00	784	99%
alnSeq	small	large	hirschberg	mid	0.41	0.41	0.00	896	100%
alnSeq	small	large	hirschberg	fast	0.13	0.13	0.00	896	100%
bio-align	small	large	hirschberg	NA	0.22	0.21	0.00	4736	99%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9540	100%
alnSeq	small	large	needle	byte	0.20	0.20	0.00	49228	99%
alnSeq	small	large	water	byte	0.23	0.23	0.00	49268	100%
alnSeq	small	large	scan	byte	0.55	0.53	0.01	50396	99%
alnSeq	small	large	needle	mid	0.19	0.19	0.00	49236	100%
alnSeq	small	large	water	mid	0.22	0.21	0.00	49212	99%
alnSeq	small	large	scan	mid	0.60	0.59	0.01	50348	99%
alnSeq	small	large	needle	fast	0.13	0.12	0.00	49268	99%
alnSeq	small	large	water	fast	0.13	0.11	0.01	49192	99%
alnSeq	small	large	scan	fast	0.49	0.48	0.00	50428	99%
bio-align	small	large	needle	NA	0.21	0.18	0.02	391232	100%
emboss	small	large	needle	NA	0.56	0.51	0.04	793032	100%
emboss	small	large	water	NA	0.75	0.71	0.03	405792	99%
alnSeq	small	large	needle	two-bit	0.44	0.43	0.00	12672	99%
alnSeq	small	large	water	two-bit	0.41	0.40	0.00	12800	99%
alnSeq	small	large	scan	two-bit	0.78	0.76	0.01	13952	99%
alnSeq	small	large	hirschberg	byte	0.44	0.44	0.00	896	100%
alnSeq	small	large	hirschberg	two-bit	0.74	0.74	0.00	784	100%
alnSeq	small	large	hirschberg	mid	0.42	0.42	0.00	896	100%
alnSeq	small	large	hirschberg	fast	0.13	0.13	0.00	896	99%
bio-align	small	large	hirschberg	NA	0.22	0.21	0.00	4608	100%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9536	100%
alnSeq	small	large	needle	byte	0.20	0.20	0.00	49260	100%
alnSeq	small	large	water	byte	0.24	0.23	0.00	49164	100%
alnSeq	small	large	scan	byte	0.53	0.53	0.00	50432	99%
alnSeq	small	large	needle	mid	0.19	0.18	0.00	49232	99%
alnSeq	small	large	water	mid	0.22	0.21	0.00	49248	99%
alnSeq	small	large	scan	mid	0.60	0.59	0.00	50364	99%
alnSeq	small	large	needle	fast	0.13	0.12	0.00	49224	100%
alnSeq	small	large	water	fast	0.13	0.12	0.00	49268	99%
alnSeq	small	large	scan	fast	0.49	0.48	0.00	50404	100%
bio-align	small	large	needle	NA	0.21	0.18	0.03	391236	99%
emboss	small	large	needle	NA	0.56	0.48	0.07	793180	100%
emboss	small	large	water	NA	0.76	0.72	0.04	405772	99%
alnSeq	small	large	needle	two-bit	0.44	0.43	0.00	12800	99%
alnSeq	small	large	water	two-bit	0.41	0.39	0.01	12672	100%
alnSeq	small	large	scan	two-bit	0.78	0.77	0.00	13952	100%
alnSeq	small	large	hirschberg	byte	0.44	0.44	0.00	896	100%
alnSeq	small	large	hirschberg	two-bit	0.74	0.74	0.00	784	100%
alnSeq	small	large	hirschberg	mid	0.42	0.42	0.00	896	100%
alnSeq	small	large	hirschberg	fast	0.13	0.13	0.00	896	100%
bio-align	small	large	hirschberg	NA	0.22	0.22	0.00	4608	100%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9540	100%
alnSeq	small	large	needle	byte	0.20	0.19	0.01	49152	99%
alnSeq	small	large	water	byte	0.23	0.22	0.01	49200	99%
alnSeq	small	large	scan	byte	0.53	0.53	0.00	50368	100%
alnSeq	small	large	needle	mid	0.19	0.18	0.00	49284	99%
alnSeq	small	large	water	mid	0.22	0.22	0.00	49240	100%
alnSeq	small	large	scan	mid	0.60	0.59	0.01	50372	100%
alnSeq	small	large	needle	fast	0.13	0.12	0.01	49164	98%
alnSeq	small	large	water	fast	0.13	0.11	0.01	49216	100%
alnSeq	small	large	scan	fast	0.49	0.48	0.00	50440	99%
bio-align	small	large	needle	NA	0.21	0.18	0.02	391236	100%
emboss	small	large	needle	NA	0.53	0.46	0.07	793272	99%
emboss	small	large	water	NA	0.76	0.72	0.03	405696	99%
alnSeq	small	large	needle	two-bit	0.44	0.43	0.00	12800	99%
alnSeq	small	large	water	two-bit	0.41	0.40	0.01	12800	100%
alnSeq	small	large	scan	two-bit	0.78	0.76	0.01	13952	99%
alnSeq	small	large	hirschberg	byte	0.45	0.45	0.00	896	100%
alnSeq	small	large	hirschberg	two-bit	0.77	0.75	0.01	768	99%
alnSeq	small	large	hirschberg	mid	0.42	0.42	0.00	896	100%
alnSeq	small	large	hirschberg	fast	0.13	0.13	0.00	896	98%
bio-align	small	large	hirschberg	NA	0.22	0.22	0.00	4608	100%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9540	100%
alnSeq	small	large	needle	byte	0.20	0.20	0.00	49268	100%
alnSeq	small	large	water	byte	0.23	0.23	0.00	49236	100%
alnSeq	small	large	scan	byte	0.54	0.52	0.01	50372	100%
alnSeq	small	large	needle	mid	0.18	0.17	0.01	49252	99%
alnSeq	small	large	water	mid	0.22	0.21	0.01	49280	99%
alnSeq	small	large	scan	mid	0.60	0.60	0.00	50384	99%
alnSeq	small	large	needle	fast	0.13	0.12	0.00	49188	99%
alnSeq	small	large	water	fast	0.13	0.12	0.00	49168	100%
alnSeq	small	large	scan	fast	0.49	0.48	0.00	50408	100%
bio-align	small	large	needle	NA	0.21	0.18	0.03	391236	100%
emboss	small	large	needle	NA	0.55	0.50	0.04	793144	99%
emboss	small	large	water	NA	0.76	0.72	0.03	405792	99%
alnSeq	small	large	needle	two-bit	0.44	0.43	0.00	12800	99%
alnSeq	small	large	water	two-bit	0.41	0.40	0.00	12800	99%
alnSeq	small	large	scan	two-bit	0.78	0.77	0.00	13952	99%
alnSeq	small	large	hirschberg	byte	0.44	0.44	0.00	896	100%
alnSeq	small	large	hirschberg	two-bit	0.74	0.74	0.00	784	100%
alnSeq	small	large	hirschberg	mid	0.41	0.41	0.00	896	100%
alnSeq	small	large	hirschberg	fast	0.13	0.13	0.00	896	100%
bio-align	small	large	hirschberg	NA	0.22	0.21	0.00	4608	99%
ssw_test	small	large	water	NA	0.02	0.02	0.00	9536	100%
alnSeq	small	large	needle	byte	0.20	0.19	0.00	49228	99%
alnSeq	small	large	water	byte	0.24	0.24	0.00	49168	100%
alnSeq	small	large	scan	byte	0.54	0.53	0.00	50456	100%
alnSeq	small	large	needle	mid	0.19	0.18	0.00	49188	98%
alnSeq	small	large	water	mid	0.22	0.21	0.01	49248	99%
alnSeq	small	large	scan	mid	0.60	0.60	0.00	50336	99%
alnSeq	small	large	needle	fast	0.13	0.12	0.00	49168	100%
alnSeq	small	large	water	fast	0.13	0.12	0.00	49180	100%
alnSeq	small	large	scan	fast	0.49	0.48	0.00	50340	99%
bio-align	small	large	needle	NA	0.21	0.18	0.02	391232	99%
emboss	small	large	needle	NA	0.56	0.49	0.06	793136	100%
emboss	small	large	water	NA	0.74	0.69	0.04	405900	99%
alnSeq	small	ramKiller	needle	two-bit	3.15	3.11	0.04	87424	100%
alnSeq	small	ramKiller	water	two-bit	2.94	2.88	0.05	87424	99%
alnSeq	small	ramKiller	scan	two-bit	5.54	5.50	0.04	95176	99%
alnSeq	small	ramKiller	hirschberg	byte	3.16	3.15	0.00	1408	99%
alnSeq	small	ramKiller	hirschberg	two-bit	5.28	5.28	0.00	1024	100%
alnSeq	small	ramKiller	hirschberg	mid	3.03	2.99	0.02	1408	99%
alnSeq	small	ramKiller	hirschberg	fast	0.97	0.97	0.00	1408	100%
bio-align	small	ramKiller	hirschberg	NA	1.56	1.55	0.00	6144	99%
ssw_test	small	ramKiller	water	NA	0.06	0.06	0.00	7716	100%
alnSeq	small	ramKiller	needle	byte	1.46	1.42	0.03	346508	99%
alnSeq	small	ramKiller	water	byte	1.68	1.64	0.03	346420	99%
alnSeq	small	ramKiller	scan	byte	3.73	3.71	0.01	354352	99%
alnSeq	small	ramKiller	needle	mid	1.34	1.31	0.02	346504	99%
alnSeq	small	ramKiller	water	mid	1.60	1.58	0.02	346496	100%
alnSeq	small	ramKiller	scan	mid	4.24	4.21	0.02	354332	100%
alnSeq	small	ramKiller	needle	fast	0.94	0.91	0.02	346436	99%
alnSeq	small	ramKiller	water	fast	0.94	0.91	0.02	346524	100%
alnSeq	small	ramKiller	scan	fast	3.47	3.45	0.01	354348	99%
bio-align	small	ramKiller	needle	NA	1.48	1.27	0.20	2766848	99%
emboss	small	ramKiller	needle	NA	4.28	3.85	0.43	5542888	99%
emboss	small	ramKiller	water	NA	5.34	5.12	0.21	2780252	99%
alnSeq	small	ramKiller	needle	two-bit	3.15	3.12	0.02	87424	99%
alnSeq	small	ramKiller	water	two-bit	2.95	2.89	0.05	87424	100%
alnSeq	small	ramKiller	scan	two-bit	5.52	5.42	0.08	95276	99%
alnSeq	small	ramKiller	hirschberg	byte	3.16	3.16	0.00	1408	100%
alnSeq	small	ramKiller	hirschberg	two-bit	5.36	5.35	0.00	1024	99%
alnSeq	small	ramKiller	hirschberg	mid	3.00	3.00	0.00	1408	99%
alnSeq	small	ramKiller	hirschberg	fast	0.98	0.98	0.00	1408	100%
bio-align	small	ramKiller	hirschberg	NA	1.56	1.56	0.00	6016	99%
ssw_test	small	ramKiller	water	NA	0.06	0.06	0.00	7720	100%
alnSeq	small	ramKiller	needle	byte	1.46	1.44	0.02	346476	100%
alnSeq	small	ramKiller	water	byte	1.68	1.66	0.02	346488	99%
alnSeq	small	ramKiller	scan	byte	3.82	3.79	0.02	354428	99%
alnSeq	small	ramKiller	needle	mid	1.34	1.32	0.02	346416	99%
alnSeq	small	ramKiller	water	mid	1.60	1.58	0.02	346464	100%
alnSeq	small	ramKiller	scan	mid	4.24	4.22	0.01	354316	100%
alnSeq	small	ramKiller	needle	fast	0.93	0.91	0.02	346452	100%
alnSeq	small	ramKiller	water	fast	0.94	0.89	0.04	346416	99%
alnSeq	small	ramKiller	scan	fast	3.47	3.43	0.03	354380	99%
bio-align	small	ramKiller	needle	NA	1.48	1.27	0.21	2766848	100%
emboss	small	ramKiller	needle	NA	4.41	3.99	0.42	5542784	99%
emboss	small	ramKiller	water	NA	5.40	5.16	0.23	2780228	99%
alnSeq	small	ramKiller	needle	two-bit	3.15	3.11	0.03	87424	100%
alnSeq	small	ramKiller	water	two-bit	2.93	2.86	0.06	87424	99%
alnSeq	small	ramKiller	scan	two-bit	5.48	5.44	0.03	95280	99%
alnSeq	small	ramKiller	hirschberg	byte	3.17	3.16	0.00	1408	99%
alnSeq	small	ramKiller	hirschberg	two-bit	5.29	5.29	0.00	1152	100%
alnSeq	small	ramKiller	hirschberg	mid	2.99	2.99	0.00	1408	99%
alnSeq	small	ramKiller	hirschberg	fast	0.98	0.97	0.00	1408	99%
bio-align	small	ramKiller	hirschberg	NA	1.56	1.55	0.00	6016	99%
ssw_test	small	ramKiller	water	NA	0.06	0.06	0.00	7720	100%
alnSeq	small	ramKiller	needle	byte	1.46	1.44	0.02	346404	99%
alnSeq	small	ramKiller	water	byte	1.67	1.65	0.02	346416	99%
alnSeq	small	ramKiller	scan	byte	3.83	3.81	0.02	354376	99%
alnSeq	small	ramKiller	needle	mid	1.34	1.32	0.02	346440	100%
alnSeq	small	ramKiller	water	mid	1.60	1.58	0.02	346488	100%
alnSeq	small	ramKiller	scan	mid	4.24	4.20	0.03	354364	100%
alnSeq	small	ramKiller	needle	fast	0.93	0.91	0.02	346484	100%
alnSeq	small	ramKiller	water	fast	0.94	0.91	0.02	346416	99%
alnSeq	small	ramKiller	scan	fast	3.46	3.43	0.03	354392	99%
bio-align	small	ramKiller	needle	NA	1.48	1.27	0.21	2766848	100%
emboss	small	ramKiller	needle	NA	4.40	3.97	0.43	5542912	99%
emboss	small	ramKiller	water	NA	5.35	5.13	0.21	2780244	99%
alnSeq	small	ramKiller	needle	two-bit	3.15	3.10	0.04	87424	99%
alnSeq	small	ramKiller	water	two-bit	2.94	2.88	0.06	87424	100%
alnSeq	small	ramKiller	scan	two-bit	5.48	5.44	0.03	95272	99%
alnSeq	small	ramKiller	hirschberg	byte	3.16	3.16	0.00	1408	100%
alnSeq	small	ramKiller	hirschberg	two-bit	5.29	5.29	0.00	1152	99%
alnSeq	small	ramKiller	hirschberg	mid	2.99	2.99	0.00	1408	99%
alnSeq	small	ramKiller	hirschberg	fast	0.98	0.98	0.00	1408	99%
bio-align	small	ramKiller	hirschberg	NA	1.55	1.55	0.00	6016	99%
ssw_test	small	ramKiller	water	NA	0.06	0.06	0.00	7716	100%
alnSeq	small	ramKiller	needle	byte	1.46	1.46	0.00	346492	99%
alnSeq	small	ramKiller	water	byte	1.68	1.65	0.02	346512	99%
alnSeq	small	ramKiller	scan	byte	3.73	3.71	0.01	354316	100%
alnSeq	small	ramKiller	needle	mid	1.34	1.31	0.03	346500	99%
alnSeq	small	ramKiller	water	mid	1.60	1.56	0.04	346480	100%
alnSeq	small	ramKiller	scan	mid	4.23	4.22	0.01	354332	99%
alnSeq	small	ramKiller	needle	fast	0.95	0.91	0.04	346524	99%
alnSeq	small	ramKiller	water	fast	0.96	0.91	0.03	346500	99%
alnSeq	small	ramKiller	scan	fast	3.47	3.44	0.02	354312	99%
bio-align	small	ramKiller	needle	NA	1.48	1.27	0.21	2766844	99%
emboss	small	ramKiller	needle	NA	4.42	3.95	0.47	5542936	99%
emboss	small	ramKiller	water	NA	5.33	5.11	0.21	2780268	99%
alnSeq	small	ramKiller	needle	two-bit	3.17	3.12	0.04	87296	99%
alnSeq	small	ramKiller	water	two-bit	2.93	2.88	0.04	87296	100%
alnSeq	small	ramKiller	scan	two-bit	5.48	5.40	0.07	95232	99%
alnSeq	small	ramKiller	hirschberg	byte	3.17	3.16	0.00	1408	99%
alnSeq	small	ramKiller	hirschberg	two-bit	5.30	5.30	0.00	1024	99%
alnSeq	small	ramKiller	hirschberg	mid	2.99	2.99	0.00	1408	100%
alnSeq	small	ramKiller	hirschberg	fast	0.97	0.97	0.00	1408	100%
bio-align	small	ramKiller	hirschberg	NA	1.56	1.55	0.00	6016	100%
ssw_test	small	ramKiller	water	NA	0.06	0.06	0.00	7716	100%
alnSeq	small	ramKiller	needle	byte	1.46	1.44	0.02	346460	99%
alnSeq	small	ramKiller	water	byte	1.68	1.66	0.02	346512	100%
alnSeq	small	ramKiller	scan	byte	3.73	3.70	0.02	354396	100%
alnSeq	small	ramKiller	needle	mid	1.34	1.33	0.01	346460	100%
alnSeq	small	ramKiller	water	mid	1.61	1.58	0.03	346508	99%
alnSeq	small	ramKiller	scan	mid	4.24	4.20	0.03	354376	99%
alnSeq	small	ramKiller	needle	fast	0.95	0.90	0.04	346492	99%
alnSeq	small	ramKiller	water	fast	0.93	0.91	0.02	346460	99%
alnSeq	small	ramKiller	scan	fast	3.46	3.43	0.03	354372	100%
bio-align	small	ramKiller	needle	NA	1.48	1.27	0.20	2766844	99%
emboss	small	ramKiller	needle	NA	4.40	3.95	0.45	5542860	99%
emboss	small	ramKiller	water	NA	5.35	5.13	0.21	2780252	99%
alnSeq	small	ramKiller	needle	two-bit	3.15	3.09	0.05	87424	99%
alnSeq	small	ramKiller	water	two-bit	2.94	2.90	0.03	87296	99%
alnSeq	small	ramKiller	scan	two-bit	5.47	5.43	0.04	95272	99%
alnSeq	small	ramKiller	hirschberg	byte	3.16	3.16	0.00	1408	100%
alnSeq	small	ramKiller	hirschberg	two-bit	5.28	5.28	0.00	1152	100%
alnSeq	small	ramKiller	hirschberg	mid	2.99	2.99	0.00	1408	100%
alnSeq	small	ramKiller	hirschberg	fast	0.97	0.97	0.00	1408	99%
bio-align	small	ramKiller	hirschberg	NA	1.55	1.55	0.00	6144	99%
ssw_test	small	ramKiller	water	NA	0.06	0.06	0.00	7720	100%
alnSeq	small	ramKiller	needle	byte	1.46	1.43	0.03	346424	100%
alnSeq	small	ramKiller	water	byte	1.67	1.65	0.02	346480	99%
alnSeq	small	ramKiller	scan	byte	3.73	3.70	0.03	354400	99%
alnSeq	small	ramKiller	needle	mid	1.34	1.32	0.02	346452	99%
alnSeq	small	ramKiller	water	mid	1.60	1.55	0.05	346424	100%
alnSeq	small	ramKiller	scan	mid	4.24	4.20	0.03	354420	99%
alnSeq	small	ramKiller	needle	fast	0.93	0.92	0.01	346460	99%
alnSeq	small	ramKiller	water	fast	0.94	0.89	0.04	346476	100%
alnSeq	small	ramKiller	scan	fast	3.47	3.44	0.03	354312	99%
bio-align	small	ramKiller	needle	NA	1.48	1.27	0.21	2766848	100%
emboss	small	ramKiller	needle	NA	4.26	3.83	0.41	5542904	99%
emboss	small	ramKiller	water	NA	5.43	5.25	0.18	2780168	99%
alnSeq	small	ramKiller	needle	two-bit	3.14	3.10	0.04	87424	99%
alnSeq	small	ramKiller	water	two-bit	2.94	2.89	0.04	87424	99%
alnSeq	small	ramKiller	scan	two-bit	5.47	5.42	0.05	95228	99%
alnSeq	small	ramKiller	hirschberg	byte	3.19	3.19	0.00	1408	100%
alnSeq	small	ramKiller	hirschberg	two-bit	5.32	5.29	0.02	1024	99%
alnSeq	small	ramKiller	hirschberg	mid	2.99	2.99	0.00	1408	99%
alnSeq	small	ramKiller	hirschberg	fast	0.98	0.97	0.00	1408	100%
bio-align	small	ramKiller	hirschberg	NA	1.56	1.56	0.00	6144	100%
ssw_test	small	ramKiller	water	NA	0.06	0.06	0.00	7716	100%
alnSeq	small	ramKiller	needle	byte	1.46	1.44	0.01	346420	99%
alnSeq	small	ramKiller	water	byte	1.68	1.65	0.02	346472	100%
alnSeq	small	ramKiller	scan	byte	3.73	3.70	0.03	354428	99%
alnSeq	small	ramKiller	needle	mid	1.34	1.30	0.04	346460	99%
alnSeq	small	ramKiller	water	mid	1.60	1.58	0.02	346420	100%
alnSeq	small	ramKiller	scan	mid	4.24	4.23	0.00	354312	100%
alnSeq	small	ramKiller	needle	fast	0.93	0.90	0.03	346484	99%
alnSeq	small	ramKiller	water	fast	0.94	0.91	0.02	346464	100%
alnSeq	small	ramKiller	scan	fast	3.46	3.44	0.02	354364	99%
bio-align	small	ramKiller	needle	NA	1.52	1.30	0.21	2766844	99%
emboss	small	ramKiller	needle	NA	4.28	3.85	0.42	5542912	99%
emboss	small	ramKiller	water	NA	5.26	5.04	0.22	2780264	99%
alnSeq	small	ramKiller	needle	two-bit	3.15	3.08	0.06	87424	99%
alnSeq	small	ramKiller	water	two-bit	2.94	2.91	0.03	87424	99%
alnSeq	small	ramKiller	scan	two-bit	5.49	5.43	0.06	95308	99%
alnSeq	small	ramKiller	hirschberg	byte	3.16	3.16	0.00	1408	99%
alnSeq	small	ramKiller	hirschberg	two-bit	5.33	5.33	0.00	1152	100%
alnSeq	small	ramKiller	hirschberg	mid	2.99	2.99	0.00	1408	100%
alnSeq	small	ramKiller	hirschberg	fast	0.98	0.98	0.00	1408	100%
