Program	query	reference	algorithm	elapsedTime	userTime	systemTime	maxResidentMemory	CPU
seq-align	mid	large	needle	10.49	10.22	0.27	3582224	99%
seq-align	mid	large	water	145.84	145.09	0.73	8395068	99%
emboss	mid	large	needle	4.22	3.85	0.36	4786112	99%
emboss	mid	large	water	4.64	4.45	0.19	2402360	99%
alnSeqOFast	mid	large	needle	5.28	5.28	0.00	75300	99%
alnSeqOFast	mid	large	water	7.10	7.10	0.00	75236	100%
alnSeqO3	mid	large	needle	5.65	5.65	0.00	75280	99%
alnSeqO3	mid	large	water	7.15	7.14	0.00	75236	99%
alnSeqO2	mid	large	needle	5.51	5.50	0.00	75240	99%
alnSeqO2	mid	large	water	6.93	6.92	0.00	75236	99%
alnSeqO0	mid	large	needle	9.51	9.46	0.05	75304	99%
alnSeqO0	mid	large	water	11.54	11.52	0.02	75456	99%
bio-align	mid	large	hb	0.22	0.22	0.00	1788	100%
ssw_test	mid	large	water	0.33	0.32	0.00	48360	100%
bio-align	mid	large	needle	1.53	1.36	0.17	2385072	99%
bio-align	mid	large	water	65.49	49.37	4.65	2385200	82%
seq-align	mid	large	needle	10.60	10.33	0.27	3582880	99%
seq-align	mid	large	water	144.93	144.24	0.67	8390820	99%
emboss	mid	large	needle	4.21	3.84	0.37	4786036	99%
emboss	mid	large	water	4.63	4.45	0.18	2402348	99%
alnSeqOFast	mid	ramKiller	needle	32.44	32.40	0.03	532404	99%
alnSeqOFast	mid	ramKiller	water	50.90	50.78	0.09	532508	99%
alnSeqO3	mid	ramKiller	needle	34.77	34.72	0.03	532408	99%
alnSeqO3	mid	ramKiller	water	50.92	50.86	0.04	532508	99%
alnSeqO2	mid	ramKiller	needle	33.66	33.60	0.05	532408	99%
alnSeqO2	mid	ramKiller	water	49.41	49.34	0.05	532512	99%
alnSeqO0	mid	ramKiller	needle	60.25	59.96	0.27	532496	99%
alnSeqO0	mid	ramKiller	water	82.26	81.98	0.25	532588	99%
bio-align	mid	ramKiller	hb	1.55	1.55	0.00	3000	100%
ssw_test	mid	ramKiller	water	0.75	0.75	0.00	34384	100%
alnSeqOFast	mid	ramKiller	needle	32.45	32.42	0.03	532404	99%
alnSeqOFast	mid	ramKiller	water	50.50	50.46	0.03	532520	99%
alnSeqO3	mid	ramKiller	needle	34.90	34.84	0.05	532404	99%
alnSeqO3	mid	ramKiller	water	50.92	50.88	0.02	532520	99%
alnSeqO2	mid	ramKiller	needle	33.70	33.66	0.03	532404	99%
alnSeqO2	mid	ramKiller	water	49.38	49.34	0.04	532512	99%
alnSeqO0	mid	ramKiller	needle	60.31	60.04	0.25	532532	99%
alnSeqO0	mid	ramKiller	water	82.23	81.95	0.26	532576	99%
bio-align	mid	ramKiller	hb	1.55	1.55	0.00	3036	100%
ssw_test	mid	ramKiller	water	0.76	0.76	0.00	34628	100%
alnSeqOFast	mid	ramKiller	needle	32.45	32.40	0.04	532376	99%
alnSeqOFast	mid	ramKiller	water	50.55	50.49	0.05	532512	99%
alnSeqO3	mid	ramKiller	needle	34.84	34.82	0.01	532408	99%
alnSeqO3	mid	ramKiller	water	51.04	50.93	0.07	532508	99%
alnSeqO2	mid	ramKiller	needle	33.66	33.63	0.02	532376	99%
alnSeqO2	mid	ramKiller	water	49.55	49.47	0.06	532520	99%
alnSeqO0	mid	ramKiller	needle	60.33	60.06	0.25	532532	99%
alnSeqO0	mid	ramKiller	water	82.32	82.05	0.25	532576	99%
bio-align	mid	ramKiller	hb	1.57	1.57	0.00	3056	100%
ssw_test	mid	ramKiller	water	0.70	0.69	0.00	34200	99%
alnSeqOFast	mid	ramKiller	needle	32.51	32.38	0.10	532404	99%
alnSeqOFast	mid	ramKiller	water	50.46	50.42	0.03	532524	99%
alnSeqO3	mid	ramKiller	needle	34.84	34.78	0.05	532408	99%
alnSeqO3	mid	ramKiller	water	50.92	50.86	0.05	532524	99%
alnSeqO2	mid	ramKiller	needle	33.63	33.58	0.03	532372	99%
alnSeqO2	mid	ramKiller	water	49.43	49.36	0.05	532520	99%
alnSeqO0	mid	ramKiller	needle	60.37	60.08	0.26	532536	99%
alnSeqO0	mid	ramKiller	water	82.29	81.98	0.29	532588	99%
bio-align	mid	ramKiller	hb	1.55	1.55	0.00	3056	99%
ssw_test	mid	ramKiller	water	0.76	0.76	0.00	34264	99%
alnSeqOFast	large	small	needle	0.72	0.72	0.00	13208	100%
alnSeqOFast	large	small	water	1.15	1.15	0.00	12996	100%
alnSeqO3	large	small	needle	0.73	0.73	0.00	13188	100%
alnSeqO3	large	small	water	1.19	1.19	0.00	12996	100%
alnSeqO2	large	small	needle	0.77	0.76	0.00	13204	99%
alnSeqO2	large	small	water	1.12	1.11	0.00	12976	99%
alnSeqO0	large	small	needle	1.39	1.38	0.01	13184	99%
alnSeqO0	large	small	water	1.90	1.89	0.01	13212	99%
bio-align	large	small	hb	0.01	0.01	0.00	1508	100%
ssw_test	large	small	water	0.02	0.02	0.00	2848	100%
bio-align	large	small	needle	0.20	0.17	0.03	387240	100%
bio-align	large	small	water	10.48	7.60	0.83	387328	80%
seq-align	large	small	needle	1.68	1.63	0.04	581852	100%
seq-align	large	small	water	21.16	21.04	0.12	1334964	99%
emboss	large	small	needle	1.78	1.69	0.08	790464	99%
emboss	large	small	water	0.83	0.78	0.04	404528	100%
alnSeqOFast	large	small	needle	0.72	0.72	0.00	13188	99%
alnSeqOFast	large	small	water	1.15	1.15	0.00	12976	99%
alnSeqO3	large	small	needle	0.73	0.73	0.00	13188	99%
alnSeqO3	large	small	water	1.16	1.16	0.00	12976	100%
alnSeqO2	large	small	needle	0.77	0.77	0.00	13188	100%
alnSeqO2	large	small	water	1.12	1.12	0.00	12996	100%
alnSeqO0	large	small	needle	1.39	1.38	0.01	13220	99%
alnSeqO0	large	small	water	1.88	1.88	0.00	13244	99%
bio-align	large	small	hb	0.01	0.01	0.00	1456	100%
ssw_test	large	small	water	0.02	0.02	0.00	2796	96%
bio-align	large	small	needle	0.20	0.17	0.03	387088	100%
bio-align	large	small	water	10.84	8.11	0.82	387356	82%
seq-align	large	small	needle	1.68	1.63	0.04	582444	99%
seq-align	large	small	water	21.16	21.05	0.11	1338372	99%
emboss	large	small	needle	1.74	1.69	0.05	790384	99%
emboss	large	small	water	0.84	0.80	0.03	404560	99%
alnSeqOFast	large	small	needle	0.72	0.72	0.00	13188	100%
alnSeqOFast	large	small	water	1.15	1.15	0.00	12976	100%
alnSeqO3	large	small	needle	0.73	0.72	0.00	13188	100%
alnSeqO3	large	small	water	1.16	1.16	0.00	12976	100%
alnSeqO2	large	small	needle	0.77	0.76	0.00	12992	100%
alnSeqO2	large	small	water	1.12	1.12	0.00	12976	100%
alnSeqO0	large	small	needle	1.39	1.38	0.00	13220	99%
alnSeqO0	large	small	water	1.91	1.90	0.00	13212	100%
bio-align	large	small	hb	0.01	0.01	0.00	1524	100%
ssw_test	large	small	water	0.02	0.02	0.00	2780	96%
bio-align	large	small	needle	0.20	0.18	0.02	387152	99%
bio-align	large	small	water	10.49	8.37	0.76	387440	87%
seq-align	large	small	needle	1.68	1.64	0.04	586088	100%
seq-align	large	small	water	21.18	21.05	0.11	1337004	99%
emboss	large	small	needle	1.79	1.71	0.08	790396	99%
emboss	large	small	water	0.85	0.80	0.04	404588	100%
alnSeqOFast	large	small	needle	0.72	0.72	0.00	13188	100%
alnSeqOFast	large	small	water	1.15	1.15	0.00	12976	100%
alnSeqO3	large	small	needle	0.73	0.73	0.00	13188	100%
alnSeqO3	large	small	water	1.16	1.16	0.00	12976	100%
alnSeqO2	large	small	needle	0.77	0.77	0.00	13188	100%
alnSeqO2	large	small	water	1.12	1.12	0.00	12976	99%
alnSeqO0	large	small	needle	1.39	1.37	0.01	13184	99%
alnSeqO0	large	small	water	1.89	1.88	0.00	13212	99%
bio-align	large	small	hb	0.01	0.01	0.00	1620	100%
ssw_test	large	small	water	0.02	0.02	0.00	2848	100%
bio-align	large	small	needle	0.20	0.18	0.02	387264	100%
bio-align	large	small	water	10.19	7.78	0.81	387436	84%
seq-align	large	small	needle	1.68	1.64	0.04	584864	100%
seq-align	large	small	water	21.20	21.10	0.09	1333584	99%
emboss	large	small	needle	1.78	1.69	0.08	790408	100%
emboss	large	small	water	0.83	0.80	0.02	404392	99%
alnSeqOFast	large	mid	needle	5.50	5.49	0.00	77276	99%
alnSeqOFast	large	mid	water	7.39	7.37	0.00	77396	99%
alnSeqO3	large	mid	needle	5.76	5.76	0.00	77344	100%
alnSeqO3	large	mid	water	7.34	7.34	0.00	77396	99%
alnSeqO2	large	mid	needle	5.76	5.76	0.00	77344	99%
alnSeqO2	large	mid	water	7.08	7.08	0.00	77396	99%
alnSeqO0	large	mid	needle	9.98	9.94	0.02	77476	99%
alnSeqO0	large	mid	water	11.92	11.88	0.04	77372	100%
bio-align	large	mid	hb	0.08	0.08	0.00	1732	100%
ssw_test	large	mid	water	0.31	0.31	0.00	41932	100%
bio-align	large	mid	needle	1.44	1.26	0.18	2441240	99%
bio-align	large	mid	water	65.66	48.89	5.31	2441460	82%
seq-align	large	mid	needle	10.90	10.61	0.27	3662004	99%
seq-align	large	mid	water	142.17	141.50	0.66	8594332	99%
emboss	large	mid	needle	11.65	11.27	0.37	4898556	99%
emboss	large	mid	water	5.21	5.03	0.18	2458496	100%
alnSeqOFast	large	mid	needle	5.52	5.51	0.00	77276	99%
alnSeqOFast	large	mid	water	7.30	7.29	0.00	77396	100%
alnSeqO3	large	mid	needle	5.85	5.83	0.01	77344	99%
alnSeqO3	large	mid	water	7.35	7.34	0.00	77396	99%
alnSeqO2	large	mid	needle	5.77	5.76	0.01	77356	99%
alnSeqO2	large	mid	water	7.08	7.08	0.00	77392	99%
alnSeqO0	large	mid	needle	9.96	9.92	0.04	77444	99%
alnSeqO0	large	mid	water	11.91	11.88	0.02	77372	99%
bio-align	large	mid	hb	0.08	0.08	0.00	1732	100%
ssw_test	large	mid	water	0.31	0.31	0.00	42320	100%
bio-align	large	mid	needle	1.44	1.26	0.18	2441344	99%
bio-align	large	mid	water	62.78	45.13	5.15	2441300	80%
seq-align	large	mid	needle	10.88	10.61	0.26	3662356	99%
seq-align	large	mid	water	141.81	141.09	0.71	8594592	99%
emboss	large	mid	needle	11.48	11.11	0.35	4898572	99%
emboss	large	mid	water	5.24	5.06	0.18	2458572	99%
alnSeqOFast	large	mid	needle	5.51	5.51	0.00	77344	99%
alnSeqOFast	large	mid	water	7.30	7.30	0.00	77396	100%
alnSeqO3	large	mid	needle	5.76	5.75	0.00	77344	100%
alnSeqO3	large	mid	water	7.36	7.36	0.00	77396	100%
alnSeqO2	large	mid	needle	5.76	5.75	0.00	77344	99%
alnSeqO2	large	mid	water	7.11	7.11	0.00	77396	99%
alnSeqO0	large	mid	needle	9.98	9.94	0.03	77476	99%
alnSeqO0	large	mid	water	11.98	11.95	0.02	77472	99%
bio-align	large	mid	hb	0.08	0.08	0.00	1572	100%
ssw_test	large	mid	water	0.31	0.30	0.00	42336	99%
bio-align	large	mid	needle	1.45	1.26	0.18	2441320	99%
bio-align	large	mid	water	61.15	46.75	5.22	2441444	84%
seq-align	large	mid	needle	10.87	10.59	0.27	3664256	99%
seq-align	large	mid	water	142.39	141.48	0.85	8592652	99%
emboss	large	mid	needle	11.67	11.25	0.41	4898572	99%
emboss	large	mid	water	5.21	5.02	0.19	2458596	99%
alnSeqOFast	large	mid	needle	5.53	5.53	0.00	77344	99%
alnSeqOFast	large	mid	water	7.32	7.32	0.00	77328	99%
alnSeqO3	large	mid	needle	5.76	5.75	0.00	77344	100%
alnSeqO3	large	mid	water	7.34	7.33	0.01	77396	99%
alnSeqO2	large	mid	needle	5.78	5.77	0.01	77344	100%
alnSeqO2	large	mid	water	7.08	7.07	0.01	77396	100%
alnSeqO0	large	mid	needle	10.03	9.96	0.06	77476	99%
alnSeqO0	large	mid	water	11.97	11.93	0.03	77472	99%
bio-align	large	mid	hb	0.08	0.08	0.00	1556	100%
ssw_test	large	mid	water	0.31	0.30	0.00	43748	100%
bio-align	large	mid	needle	1.44	1.26	0.18	2441284	99%
bio-align	large	mid	water	66.66	49.22	5.44	2441432	82%
seq-align	large	mid	needle	11.03	10.76	0.27	3665040	100%
seq-align	large	mid	water	141.99	141.30	0.68	8594612	99%
emboss	large	mid	needle	11.51	11.10	0.39	4898556	99%
emboss	large	mid	water	5.33	5.14	0.19	2458664	100%
alnSeqOFast	large	large	needle	13.15	13.11	0.02	192864	99%
alnSeqOFast	large	large	water	16.85	16.83	0.01	192848	99%
alnSeqO3	large	large	needle	13.77	13.75	0.01	192796	99%
alnSeqO3	large	large	water	17.12	17.07	0.03	192916	99%
alnSeqO2	large	large	needle	13.50	13.49	0.01	192864	99%
alnSeqO2	large	large	water	16.33	16.32	0.01	192848	99%
alnSeqO0	large	large	needle	23.70	23.62	0.07	193028	100%
alnSeqO0	large	large	water	28.08	27.95	0.13	193088	99%
bio-align	large	large	hb	0.22	0.22	0.00	1716	100%
ssw_test	large	large	water	0.58	0.58	0.00	2984	100%
bio-align	large	large	needle	3.23	2.77	0.45	6139932	99%
bio-align	large	large	water	191.57	122.49	16.91	6140036	72%
seq-align	large	large	needle	23.84	23.13	0.69	9215380	99%
seq-align	large	large	water	320.87	319.19	1.66	21605972	99%
emboss	large	large	needle	28.55	27.57	0.97	12295456	99%
emboss	large	large	water	13.46	12.98	0.47	6156972	99%
alnSeqOFast	large	large	needle	13.06	13.03	0.02	192796	99%
alnSeqOFast	large	large	water	16.85	16.84	0.00	192848	99%
alnSeqO3	large	large	needle	13.95	13.94	0.00	192796	99%
alnSeqO3	large	large	water	17.12	17.10	0.01	192848	99%
alnSeqO2	large	large	needle	13.51	13.47	0.03	192844	99%
alnSeqO2	large	large	water	16.44	16.42	0.02	192848	99%
alnSeqO0	large	large	needle	23.70	23.62	0.07	193028	99%
alnSeqO0	large	large	water	28.02	27.93	0.08	193056	99%
bio-align	large	large	hb	0.22	0.22	0.00	1864	100%
ssw_test	large	large	water	0.59	0.59	0.00	2932	100%
bio-align	large	large	needle	3.24	2.80	0.44	6139996	100%
bio-align	large	large	water	193.07	128.86	16.70	6139972	75%
seq-align	large	large	needle	23.76	23.03	0.71	9215356	99%
seq-align	large	large	water	321.58	319.93	1.63	21604220	99%
emboss	large	large	needle	29.08	28.12	0.96	12295504	99%
emboss	large	large	water	13.34	12.87	0.47	6156868	99%
alnSeqOFast	large	large	needle	12.95	12.93	0.01	192864	99%
alnSeqOFast	large	large	water	17.04	16.97	0.05	192848	99%
alnSeqO3	large	large	needle	13.75	13.73	0.01	192796	99%
alnSeqO3	large	large	water	17.14	17.01	0.09	192848	99%
alnSeqO2	large	large	needle	13.51	13.49	0.01	192864	99%
alnSeqO2	large	large	water	16.37	16.36	0.00	192916	99%
alnSeqO0	large	large	needle	23.72	23.59	0.10	193028	99%
alnSeqO0	large	large	water	28.18	27.90	0.23	193088	99%
bio-align	large	large	hb	0.22	0.22	0.00	1796	100%
ssw_test	large	large	water	0.59	0.59	0.00	4480	100%
bio-align	large	large	needle	3.23	2.78	0.44	6139836	100%
bio-align	large	large	water	195.92	133.35	16.90	6140048	76%
seq-align	large	large	needle	24.11	23.42	0.68	9211608	99%
seq-align	large	large	water	321.45	319.64	1.75	21605448	99%
emboss	large	large	needle	28.38	27.47	0.90	12295516	99%
emboss	large	large	water	13.57	13.09	0.48	6156944	99%
alnSeqOFast	large	large	needle	13.00	12.96	0.03	192796	99%
alnSeqOFast	large	large	water	16.87	16.85	0.01	192848	99%
alnSeqO3	large	large	needle	13.86	13.83	0.02	192796	99%
alnSeqO3	large	large	water	17.03	17.01	0.01	192848	99%
alnSeqO2	large	large	needle	13.61	13.47	0.10	192796	99%
alnSeqO2	large	large	water	16.34	16.31	0.02	192848	99%
alnSeqO0	large	large	needle	23.71	23.65	0.05	193028	99%
alnSeqO0	large	large	water	28.30	28.15	0.13	193052	99%
bio-align	large	large	hb	0.23	0.22	0.00	1700	99%
ssw_test	large	large	water	0.59	0.58	0.00	2864	99%
bio-align	large	large	needle	3.24	2.78	0.45	6140000	99%
bio-align	large	large	water	204.75	132.55	16.91	6140024	73%
seq-align	large	large	needle	23.82	23.09	0.71	9211616	99%
seq-align	large	large	water	321.61	319.83	1.76	21607268	99%
emboss	large	large	needle	28.24	27.30	0.93	12295440	99%
emboss	large	large	water	13.39	12.90	0.48	6157000	99%
alnSeqOFast	large	ramKiller	needle	87.87	87.78	0.08	1369720	99%
alnSeqOFast	large	ramKiller	water	130.37	130.31	0.05	1369772	99%
alnSeqO3	large	ramKiller	needle	95.06	94.86	0.17	1369916	99%
alnSeqO3	large	ramKiller	water	131.51	131.38	0.11	1369772	99%
alnSeqO2	large	ramKiller	needle	90.71	90.56	0.13	1369916	99%
alnSeqO2	large	ramKiller	water	127.07	126.99	0.07	1369772	99%
alnSeqO0	large	ramKiller	needle	160.66	159.93	0.70	1370032	99%
alnSeqO0	large	ramKiller	water	212.56	211.69	0.81	1369928	99%
bio-align	large	ramKiller	hb	1.57	1.56	0.00	3060	100%
ssw_test	large	ramKiller	water	3.14	3.11	0.03	319760	100%
alnSeqOFast	large	ramKiller	needle	87.71	87.60	0.11	1369748	99%
alnSeqOFast	large	ramKiller	water	130.42	130.29	0.11	1369772	99%
alnSeqO3	large	ramKiller	needle	94.99	94.66	0.25	1369720	99%
alnSeqO3	large	ramKiller	water	132.72	132.48	0.19	1369840	99%
alnSeqO2	large	ramKiller	needle	90.81	90.69	0.10	1369724	99%
alnSeqO2	large	ramKiller	water	127.36	127.24	0.10	1369772	99%
alnSeqO0	large	ramKiller	needle	160.87	160.08	0.74	1370032	99%
alnSeqO0	large	ramKiller	water	212.19	211.50	0.65	1370028	99%
bio-align	large	ramKiller	hb	1.56	1.55	0.00	2956	99%
ssw_test	large	ramKiller	water	3.14	3.10	0.03	318640	100%
alnSeqOFast	large	ramKiller	needle	88.26	87.85	0.33	1369952	99%
alnSeqOFast	large	ramKiller	water	131.15	130.76	0.30	1369780	99%
alnSeqO3	large	ramKiller	needle	95.05	94.89	0.13	1369916	99%
alnSeqO3	large	ramKiller	water	132.39	131.97	0.31	1369772	99%
alnSeqO2	large	ramKiller	needle	91.56	91.36	0.16	1369724	99%
alnSeqO2	large	ramKiller	water	128.94	128.73	0.16	1369772	99%
alnSeqO0	large	ramKiller	needle	160.70	160.04	0.63	1370032	99%
alnSeqO0	large	ramKiller	water	212.48	211.68	0.72	1369928	99%
bio-align	large	ramKiller	hb	1.56	1.56	0.00	2876	99%
ssw_test	large	ramKiller	water	3.15	3.13	0.02	318860	99%
alnSeqOFast	large	ramKiller	needle	87.70	87.58	0.11	1369720	99%
alnSeqOFast	large	ramKiller	water	130.49	130.35	0.12	1369772	99%
alnSeqO3	large	ramKiller	needle	94.50	94.38	0.11	1369724	99%
alnSeqO3	large	ramKiller	water	131.44	131.32	0.11	1369704	99%
alnSeqO2	large	ramKiller	needle	90.82	90.70	0.11	1369916	99%
alnSeqO2	large	ramKiller	water	127.29	127.19	0.08	1369776	99%
alnSeqO0	large	ramKiller	needle	160.62	159.88	0.72	1370036	99%
alnSeqO0	large	ramKiller	water	212.52	211.71	0.76	1369928	99%
bio-align	large	ramKiller	hb	1.55	1.55	0.00	2880	99%
ssw_test	large	ramKiller	water	3.09	3.04	0.05	318792	100%
alnSeqOFast	ramKiller	small	needle	4.94	4.91	0.02	89912	99%
alnSeqOFast	ramKiller	small	water	8.23	8.21	0.01	89996	99%
alnSeqO3	ramKiller	small	needle	4.98	4.96	0.02	89912	100%
alnSeqO3	ramKiller	small	water	8.28	8.27	0.01	89896	99%
alnSeqO2	ramKiller	small	needle	5.40	5.37	0.02	89844	99%
alnSeqO2	ramKiller	small	water	7.98	7.97	0.01	89940	99%
alnSeqO0	ramKiller	small	needle	9.71	9.66	0.04	90072	99%
alnSeqO0	ramKiller	small	water	13.44	13.41	0.03	90096	99%
bio-align	ramKiller	small	hb	0.01	0.01	0.00	1456	100%
ssw_test	ramKiller	small	water	0.14	0.14	0.00	6788	99%
bio-align	ramKiller	small	needle	1.47	1.26	0.20	2754720	99%
bio-align	ramKiller	small	water	69.97	51.44	5.82	2754512	81%
seq-align	ramKiller	small	needle	11.48	11.17	0.30	4136968	99%
seq-align	ramKiller	small	water	190.14	189.36	0.77	9491036	99%
emboss	ramKiller	small	needle	17.57	17.12	0.45	5523392	99%
emboss	ramKiller	small	water	11.90	11.69	0.20	2772156	99%
alnSeqOFast	ramKiller	small	needle	4.93	4.91	0.01	89916	99%
alnSeqOFast	ramKiller	small	water	8.22	8.22	0.00	90012	99%
alnSeqO3	ramKiller	small	needle	4.97	4.96	0.01	89844	99%
alnSeqO3	ramKiller	small	water	8.28	8.28	0.00	89940	99%
alnSeqO2	ramKiller	small	needle	5.29	5.28	0.01	89916	99%
alnSeqO2	ramKiller	small	water	8.03	8.01	0.01	89944	99%
alnSeqO0	ramKiller	small	needle	9.70	9.65	0.04	90040	99%
alnSeqO0	ramKiller	small	water	13.44	13.38	0.05	90012	99%
bio-align	ramKiller	small	hb	0.01	0.01	0.00	1512	100%
ssw_test	ramKiller	small	water	0.14	0.14	0.00	6660	100%
bio-align	ramKiller	small	needle	1.47	1.26	0.20	2754616	99%
bio-align	ramKiller	small	water	74.04	57.31	5.64	2754472	85%
seq-align	ramKiller	small	needle	11.50	11.19	0.30	4134508	99%
seq-align	ramKiller	small	water	190.21	189.49	0.71	9490524	99%
emboss	ramKiller	small	needle	17.36	16.91	0.44	5523340	99%
emboss	ramKiller	small	water	12.00	11.77	0.22	2772152	99%
alnSeqOFast	ramKiller	small	needle	4.97	4.94	0.02	89912	99%
alnSeqOFast	ramKiller	small	water	8.22	8.20	0.01	89940	99%
alnSeqO3	ramKiller	small	needle	5.00	4.99	0.00	89972	99%
alnSeqO3	ramKiller	small	water	8.27	8.27	0.00	90036	100%
alnSeqO2	ramKiller	small	needle	5.35	5.34	0.00	89912	99%
alnSeqO2	ramKiller	small	water	8.00	8.00	0.00	89964	100%
alnSeqO0	ramKiller	small	needle	9.68	9.66	0.02	90040	99%
alnSeqO0	ramKiller	small	water	13.46	13.40	0.05	90084	99%
bio-align	ramKiller	small	hb	0.01	0.01	0.00	1536	100%
ssw_test	ramKiller	small	water	0.14	0.14	0.00	6780	100%
bio-align	ramKiller	small	needle	1.47	1.27	0.20	2754548	100%
bio-align	ramKiller	small	water	63.36	47.61	5.52	2754332	83%
seq-align	ramKiller	small	needle	11.49	11.18	0.31	4136832	100%
seq-align	ramKiller	small	water	190.63	189.84	0.79	9490256	99%
emboss	ramKiller	small	needle	17.39	16.97	0.41	5523324	99%
emboss	ramKiller	small	water	12.02	11.80	0.21	2772068	100%
alnSeqOFast	ramKiller	small	needle	4.93	4.92	0.00	89912	99%
alnSeqOFast	ramKiller	small	water	8.22	8.21	0.01	89944	99%
alnSeqO3	ramKiller	small	needle	4.96	4.96	0.00	89844	99%
alnSeqO3	ramKiller	small	water	8.28	8.26	0.01	89920	99%
alnSeqO2	ramKiller	small	needle	5.32	5.31	0.00	89844	99%
alnSeqO2	ramKiller	small	water	8.03	8.01	0.01	89972	99%
alnSeqO0	ramKiller	small	needle	9.68	9.64	0.04	90040	99%
alnSeqO0	ramKiller	small	water	13.45	13.41	0.04	90044	99%
bio-align	ramKiller	small	hb	0.01	0.01	0.00	1548	100%
ssw_test	ramKiller	small	water	0.14	0.13	0.00	6756	100%
bio-align	ramKiller	small	needle	1.47	1.26	0.20	2754576	100%
bio-align	ramKiller	small	water	70.15	53.99	5.96	2754580	85%
seq-align	ramKiller	small	needle	11.50	11.18	0.31	4133356	100%
seq-align	ramKiller	small	water	190.24	189.42	0.81	9492632	99%
emboss	ramKiller	small	needle	17.35	16.93	0.41	5523328	99%
emboss	ramKiller	small	water	11.97	11.74	0.22	2772060	100%
alnSeqOFast	ramKiller	mid	needle	32.25	32.21	0.04	547964	99%
alnSeqOFast	ramKiller	mid	water	51.97	51.91	0.04	548000	99%
alnSeqO3	ramKiller	mid	needle	32.75	32.69	0.04	548036	99%
alnSeqO3	ramKiller	mid	water	52.38	52.32	0.05	548028	99%
alnSeqO2	ramKiller	mid	needle	35.06	34.95	0.09	548032	99%
alnSeqO2	ramKiller	mid	water	51.00	50.94	0.05	547800	99%
alnSeqO0	ramKiller	mid	needle	62.66	62.35	0.30	548028	99%
alnSeqO0	ramKiller	mid	water	85.09	84.75	0.31	548040	99%
bio-align	ramKiller	mid	hb	0.08	0.08	0.00	1608	100%
ssw_test	ramKiller	mid	water	0.97	0.96	0.00	14704	99%
alnSeqOFast	ramKiller	mid	needle	32.31	32.26	0.04	548032	100%
alnSeqOFast	ramKiller	mid	water	52.01	51.97	0.03	547952	99%
alnSeqO3	ramKiller	mid	needle	32.74	32.70	0.04	548032	100%
alnSeqO3	ramKiller	mid	water	52.36	52.32	0.03	547920	99%
alnSeqO2	ramKiller	mid	needle	34.73	34.67	0.05	548036	99%
alnSeqO2	ramKiller	mid	water	50.56	50.50	0.06	547916	99%
alnSeqO0	ramKiller	mid	needle	62.69	62.43	0.24	548028	99%
alnSeqO0	ramKiller	mid	water	85.41	85.02	0.35	548068	99%
bio-align	ramKiller	mid	hb	0.08	0.08	0.00	1656	100%
ssw_test	ramKiller	mid	water	0.97	0.96	0.00	14876	99%
alnSeqOFast	ramKiller	mid	needle	32.28	32.24	0.03	548032	99%
alnSeqOFast	ramKiller	mid	water	52.05	51.98	0.05	547796	99%
alnSeqO3	ramKiller	mid	needle	33.10	33.02	0.06	548036	99%
alnSeqO3	ramKiller	mid	water	52.85	52.80	0.03	547976	99%
alnSeqO2	ramKiller	mid	needle	34.71	34.67	0.03	548036	99%
alnSeqO2	ramKiller	mid	water	50.72	50.66	0.05	547796	99%
alnSeqO0	ramKiller	mid	needle	62.65	62.37	0.27	548028	99%
alnSeqO0	ramKiller	mid	water	85.14	84.82	0.30	548096	99%
bio-align	ramKiller	mid	hb	0.09	0.09	0.00	1704	100%
ssw_test	ramKiller	mid	water	0.99	0.97	0.01	14764	99%
alnSeqOFast	ramKiller	mid	needle	32.27	32.23	0.04	548032	99%
alnSeqOFast	ramKiller	mid	water	52.03	51.99	0.04	547944	99%
alnSeqO3	ramKiller	mid	needle	33.05	33.02	0.02	548032	99%
alnSeqO3	ramKiller	mid	water	52.54	52.49	0.05	547988	99%
alnSeqO2	ramKiller	mid	needle	34.84	34.79	0.04	547964	99%
alnSeqO2	ramKiller	mid	water	50.66	50.62	0.03	547800	99%
alnSeqO0	ramKiller	mid	needle	62.68	62.43	0.24	548028	99%
alnSeqO0	ramKiller	mid	water	85.12	84.89	0.21	548104	99%
bio-align	ramKiller	mid	hb	0.08	0.08	0.00	1620	100%
ssw_test	ramKiller	mid	water	0.98	0.98	0.00	14824	99%
alnSeqOFast	ramKiller	large	needle	86.11	86.02	0.08	1372556	99%
alnSeqOFast	ramKiller	large	water	131.41	131.32	0.08	1372648	99%
alnSeqO3	ramKiller	large	needle	88.30	88.16	0.11	1372556	99%
alnSeqO3	ramKiller	large	water	134.14	133.76	0.28	1372588	99%
alnSeqO2	ramKiller	large	needle	92.50	92.21	0.23	1372560	99%
alnSeqO2	ramKiller	large	water	128.15	128.02	0.11	1372440	99%
alnSeqO0	ramKiller	large	needle	163.27	162.54	0.70	1372664	99%
alnSeqO0	ramKiller	large	water	214.76	213.96	0.75	1372692	99%
bio-align	ramKiller	large	hb	0.22	0.22	0.00	1768	100%
ssw_test	ramKiller	large	water	3.33	3.29	0.04	334524	100%
alnSeqOFast	ramKiller	large	needle	86.03	85.90	0.11	1372628	99%
alnSeqOFast	ramKiller	large	water	132.27	132.01	0.21	1372392	99%
alnSeqO3	ramKiller	large	needle	88.24	88.11	0.11	1372556	99%
